# BEAST v1.10.4
# Generated Tue Mar 22 15:29:18 PDT 2022 [seed=1647988158365]
# -save_every 100000 -save_state saved_state -beagle_SSE -beagle_thread_count 3 -beagle_scaling dynamic infile.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	tmrca(untitled0)	yule.birthRate	ycf1and2.gtr.rates.rateAC	ycf1and2.gtr.rates.rateAG	ycf1and2.gtr.rates.rateAT	ycf1and2.gtr.rates.rateCG	ycf1and2.gtr.rates.rateCT	ycf1and2.gtr.rates.rateGT	ycf1and2.frequencies1	ycf1and2.frequencies2	ycf1and2.frequencies3	ycf1and2.frequencies4	ycf1and2.alpha	ccsA-ndhD.gtr.rates.rateAC	ccsA-ndhD.gtr.rates.rateAG	ccsA-ndhD.gtr.rates.rateAT	ccsA-ndhD.gtr.rates.rateCG	ccsA-ndhD.gtr.rates.rateCT	ccsA-ndhD.gtr.rates.rateGT	ccsA-ndhD.frequencies1	ccsA-ndhD.frequencies2	ccsA-ndhD.frequencies3	ccsA-ndhD.frequencies4	ccsA-ndhD.alpha	ycf1and2.nu	ccsA-ndhD.nu	ycf1and2.mu	ccsA-ndhD.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	speciation
0	-60459.60520308089	-3228.2576434129287	-57231.347559667964	237.69291553404278	972.567367756513	129.6132375340811	2.0	1.0	1.0	1.0	1.0	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.5	0.5	0.7581766148814391	1.4683293745051464	1.0	0.3333333333333333	0.8675562269694126	0.26615573672390075	-0.297165979285481	-57231.347559667964	-176.11750423849838	-1929.1923503601479
1000	-14818.035067885265	-838.6883922005668	-13979.346675684697	244.3229460446384	919.6046490827221	92.02414277034336	0.5333323626925831	1.0027676979089268	1.0080907257141716	1.0002113290770664	1.008339443145109	0.9838152693013701	0.9967755348533559	0.2496442723348528	0.2499999999	0.22840732855962473	0.27194839920552244	0.37693377127238603	1.0029492261596538	1.0080522977053956	0.9970507738403463	1.0031467136434684	0.9837777983157663	1.00502319033537	0.2572068435555557	0.24871526787432086	0.2500000001	0.24407788847012346	0.29664799021559657	0.42428261536571676	0.5757173846342832	0.6433623141420456	1.6906854945435918	0.11310017887877814	1.3989786548847922	0.0030677533160489868	1.9354982129376408	-0.14352888457731483	-13979.346675684697	-176.11750423849838	-504.9129612640071
2000	-12793.594171330045	-344.13172811060986	-12449.462443219436	113.2604839381515	592.8964870443126	73.01254805356379	0.058322160426634184	1.0015598680616187	0.9970584097805117	0.9921994399567224	1.008339443145109	0.990480153505593	1.010362685550445	0.25923982093210973	0.2502143900805438	0.21859738978182403	0.27194839920552244	0.15390415364777463	1.0045774805807353	1.0172914471478365	0.9982721536800714	0.9939075642010277	0.9877663523500443	0.9981850020402854	0.276491539540712	0.241041144538201	0.23572502012296903	0.246742295798118	0.1715999659395389	0.46663217833983434	0.5333678216601654	0.7075792107368951	1.5663192799188863	0.06944240500611792	1.8209838559603875	8.455530425738993E-4	1.708169374574772	-0.06147750454049211	-12449.462443219436	-176.11750423849838	-99.93978642894095
3000	-12587.504849374269	-310.140303198118	-12277.364546176152	56.05221345081379	344.3049691387672	47.467132435763695	0.06186939316643929	1.0015598680616187	0.9975895089616282	0.9908264154492724	1.0072035760056446	0.9911001793326187	1.0117204521892171	0.2541948880610356	0.2375223394303116	0.21951747075856892	0.2887653017500839	0.10069776636443073	1.0171723348345478	1.0226457045806696	0.9885075007134336	0.9857779058338587	0.9863777222567331	0.9995188317807577	0.2838764718317783	0.23867017741658983	0.2235107176136795	0.2539426331379524	0.12025789676550812	0.5191760668143282	0.4808239331856716	0.7872543057294943	1.4120158101232432	0.10139440629099299	2.2359144054998867	0.0014665978183506744	1.7528726676159812	-0.13680603585112314	-12277.364546176152	-176.11750423849838	-85.30472209169825
4000	-12514.898174195656	-308.3238873024493	-12206.574286893207	52.43793309420401	349.97938029999256	50.256915183950476	0.057817032492069924	1.0022196337238476	0.9975895089616282	0.9908264154492724	1.0053319329556034	0.9877461268947163	1.016286382014932	0.2575785030531651	0.2470467488483256	0.20660944634842537	0.2887653017500839	0.12455554858383909	1.0283212438770175	1.0306381169333494	0.9860491743568875	0.9857779058338587	0.9820046531206984	0.9872089058781889	0.2766852525958638	0.2344077241202351	0.21594654988535716	0.2729604733985439	0.11431551764963375	0.5588637652345736	0.44113623476542624	0.8474348754108886	1.2954665833293475	0.0955505756280824	1.8352579478934972	0.0014455818283759419	1.7213165844649057	-0.15367971664236363	-12206.574286893207	-176.11750423849838	-85.79562214151387
5000	-12443.26183135648	-299.9786594851969	-12143.283171871282	45.59153310890331	303.1852821094283	41.89898853149701	0.08191627434660986	1.0022196337238476	0.9982906014883935	0.9969840757655726	1.0053319329556034	0.9815884665784161	1.0155852894881667	0.2534566910422999	0.2470467488483256	0.20660944634842537	0.2928871137609491	0.12362995456712216	1.0293964383508	1.0383465769328268	0.9692516342695964	0.9965640242248036	0.9760032128863572	0.9904381133356164	0.2766852525958638	0.22598420405593342	0.2233941237973594	0.27393641955084336	0.09909838375191567	0.590986677611018	0.409013322388982	0.8961445573422999	1.2011325516553715	0.09480784082662574	1.826921660275308	0.001470977244137992	1.7562278364899604	-0.12886659682285673	-12143.283171871282	-176.11750423849838	-82.38313349865791
6000	-12319.63083502221	-301.3077254244118	-12018.323109597797	41.641528878856676	294.8984837430073	40.196786093639076	0.09647105851308388	0.9915979973391085	1.0026173001966243	1.0001934786417903	1.0053319329556034	0.9858001231175891	1.0144591677492845	0.24419412288706774	0.25534575357133354	0.19863474329395828	0.30182538024764044	0.1159247182479193	1.0196568139488316	1.057689827644242	0.9765314558138736	0.9939586899938192	0.9767441570517181	0.9754190555475158	0.28046622993711373	0.22598420405593342	0.2233941237973594	0.2701554422095934	0.05953199147481393	0.6349063807988667	0.36509361920113326	0.9627423411214213	1.0721553710348402	0.10120948891381151	1.8839108042314598	0.0015520954931784107	1.775823535330681	-0.1272878317162562	-12018.323109597797	-176.11750423849838	-82.23495011081997
7000	-12194.523200722524	-299.1681078609635	-11895.35509286156	40.596898782608214	293.2690321081158	37.07656919809952	0.09780815174624641	0.974688729831378	0.9951432771829307	1.0001934786417903	1.0130204709978745	0.9972409622074354	1.019713081138591	0.2536802214619059	0.24707963377772052	0.18903653495920378	0.3102036098011698	0.11389269906703388	1.0154867117394912	1.0639191744199188	0.9765314558138736	0.9939586899938192	0.9770038890470114	0.9731000789858859	0.29843654079640397	0.22598420405593342	0.2142235424450224	0.2613557127026402	0.0686505317843069	0.6480302463266814	0.35196975367331856	0.9826427570014968	1.0336150565117486	0.09195795773652549	1.8634916840724123	0.0013198101546447645	1.7797256303189923	-0.13577219764916892	-11895.35509286156	-176.11750423849838	-82.15329114210958
8000	-12164.325086956072	-302.23830431633513	-11862.086782639737	50.493680784695314	355.3569992624108	45.48982006226413	0.09211715479507401	0.9672595834407632	0.9951432771829307	0.9827100326145396	1.0280503336958358	0.9972409622074354	1.0295958108584953	0.2524841657002895	0.24133082221578456	0.19119886285032237	0.3149861492336036	0.11175261557161126	1.00531563028924	1.0549004872180343	0.9794628897603291	0.9947744066662448	0.9747116515937218	0.9908349344724301	0.2894876079528772	0.22975418911496395	0.20661693671691642	0.27414126621524243	0.04448096653143006	0.680719915727213	0.31928008427278687	1.0322118427768736	0.9376166528644232	0.07588810681893969	1.6783863768380645	0.0010871301755851265	1.811446696857522	-0.16011995275712854	-11862.086782639737	-176.11750423849838	-87.58243978687685
9000	-11974.657663777005	-302.6519028194631	-11672.005760957541	67.1237072108132	393.83156264079554	44.29901123867471	0.05733647647738242	0.9670212710579213	0.9951432771829307	0.9814574332280386	1.0293029330823367	0.9972409622074354	1.0298341232413373	0.24598552289497227	0.23609538046211412	0.1831893670425309	0.3347297296003827	0.13507707876380654	1.0145308026693238	1.0554899304293532	0.9761722760585247	0.9886735160259837	0.9846620976928163	0.9804713771239983	0.30264715971687783	0.2189844784073064	0.20153932375856892	0.27682903811724685	0.07568976612590457	0.7380804405079645	0.26191955949203544	1.1191906597890597	0.7691683659192078	0.06579399059945325	1.8083538946161328	0.0010016093419116558	1.9012980771434587	-0.14136461517813845	-11672.005760957541	-176.11750423849838	-88.33373433877448
